,Date Created,location,Tweet
15,19/07/2021 07:37,"Lagos, Nigeria","@Tife_fabunmi Learn how to create a PayPal account that withdraws to nigeria bank account, in addition you'll learn… https://t.co/kqKzmZSv3i"
16,19/07/2021 07:37,On God,@PRsystems_ng Only God can save Nigeria
17,19/07/2021 07:36,"Lagos, Nigeria","#Nigeria falls to #US in women’s #basketball tune-up

https://t.co/O7GGDSGNZ7

#ESPN #DTigers #Nigeria… https://t.co/cxB1MwY5nJ"
18,19/07/2021 07:36,,@AltcoinDailyio You could talk about $DVPN @Sentinel_co and how it's helping users access the internet in a trusted… https://t.co/OUlhsZxlKV
19,19/07/2021 07:36,,There will be no peace in Nigeria until Biafra is actualised – Uwazuruike https://t.co/A3GkV9Xk9J
20,19/07/2021 07:36,,"WINNINGS FROM OTHER NIGERIA MEMBERS

NIGERIA WINNINGS FROM TODAY VIP GAME 

👇👇👇👇👇👇👇👇👇👇👇👇👇 https://t.co/c0wHzEgBPH"
21,19/07/2021 07:36,"Lagos, Nigeria",Reno Omokri Reacts To The Alleged Sack Of Winners Pastors For Not Generating Enough Income https://t.co/oqknNqoFj7
22,19/07/2021 07:36,,@henryshield Nigeria has been subdued spiritually b4 u see this defeat of the masses by an elite few ... u guys thi… https://t.co/PNrblXiuu0
23,19/07/2021 07:36,A tiny dot in the Universe ,"@Clarenceonyeks If Nigeria wants to end that menace they would. It's simple, for whatever reason, BH continues to e… https://t.co/7O6MSBBw16"
24,19/07/2021 07:36,"Federal Capital Territory, Nig",@Henrydrake_ @abu_tapa @Bajgop07 @anaiyke @castroy_hardey @ObianujuCIW @Manbryto @ikunle51 @UthmanTochukwu You must… https://t.co/yhBsi306jO
25,19/07/2021 07:36,"Lagos, Nigeria","•Names Lawan, Gbajabiamila, APC, INEC, Others Defendants
*Again Presidency Accuses Kukah Of Castigating Nigeria Bef… https://t.co/wNnEa7uSR9"
26,19/07/2021 07:36,,"Many Nigerians have given-up on seeing a better Nigeria in their life time, simply because of the collapsed system… https://t.co/jDz8TZh8Dh"
27,19/07/2021 07:36,Canada inshallahu 🙏🏿,@A6oki I my own NO be say Nigeria prison no get bed and them no dey pay yu if you dey prison
28,19/07/2021 07:36,Lagos - Nigeria,"Basketball: US female team beats Nigeria’s D’Tigress 93-62

#US | #Nigeria | #DTigress | #DearErica

https://t.co/Q7vTlVrvxR"
29,19/07/2021 07:36,,"@PremiumTimesng Nigeria is finished
Nigeria is dead
Nigeria is gone
#NoNigeria
#ReferendumNow 
#FreeNnamdiKanuNow… https://t.co/AP1q9gDrWv"
30,19/07/2021 07:36,"Texas, USA",@MadukaOgwueleka Who ever is castigating MNK l let the persons 20 generations  lives remain like Nigeria in Jesus name. Amen
31,19/07/2021 07:35,Nigeria,"Just posted a photo @ Abuja, Nigeria https://t.co/Q73Ey7uWAM"
32,19/07/2021 07:35,"Washington, DC",Thirteen policemen were killed in an ambush by cattle thieves in northwest Nigeria’s Zamfara state… https://t.co/foQoDBudqV
33,19/07/2021 07:35,,"Monkeypox detected in hospitalized US resident who visited Nigeria, CDC and Texas officials confirm, FOX News https://t.co/qO6nCsDeBW"
34,19/07/2021 07:35,local abortion clinic ,"Hajime and,,,,, who is he???eggnog????niche?????nigeria?????"
35,19/07/2021 07:35,"Lagos, Nigeria",Gov. Masari Blasts Politicians Calling On Foreign Powers To Interfere In Nigeria’s Affairs https://t.co/pqjUlMHOgk https://t.co/IxEsrXH0aX
36,19/07/2021 07:35,Nigeria,Health Promoter IEC Officer at Medecins Sans Frontieres (MSF) – Holland Nigeria https://t.co/kUWnXeioz7
37,19/07/2021 07:35,3rd Stone from the Sun.,"@iSlimfit Public holidays is not what is making Nigeria poor.
Even if Nigeria works for 365days a year, it won't st… https://t.co/BafPQgqqHr"
38,19/07/2021 07:35,La Ciudad De Las Gidi,"@orebobo @SoniaMaduabuchi @the_davidatta @Chxta The issue here is your imagination, not mine.

Did you read the doc… https://t.co/axxjODoIKT"
39,19/07/2021 07:34,Kansas City,Team Nigeria WBB coach sends plea/message to FIBA. https://t.co/ElJt4iJvjq
40,19/07/2021 07:34,"Lagos, Nigeria","*OPEC Upward Adjustment On Crude Oil Production Starts August•DPR: Without Alternative Energy, Petrol Price Will Ri… https://t.co/Pi58uja6Uo"
41,19/07/2021 07:34,Nigeria,Covid-19: Lagos leads as Nigeria records 203 infections https://t.co/oc8L3JK7Lx
42,19/07/2021 07:34,"Nairobi, Kenya","Lack of testing or we are careful enough? What do you make of it? We asked our panelists in Kenya, Nigeria, and Sou… https://t.co/fjL1iMFmDi"
43,19/07/2021 07:34,,I know it's been a business tyn for Dem all in Nigeria 😏😏 https://t.co/uFrseBgtSX
44,19/07/2021 07:34,Dunukofia LGA Anambra state,Nigeria should as a matter of urgency apologise publicly to Ndigbo for the genocide committed against them and is s… https://t.co/kQWjC53kxc
45,19/07/2021 07:34,Nigeria,"Quoting Self - 23

19th July, 2021

#QuotingSelf #YouSefThinkAm @ Kano, Nigeria https://t.co/bSPV4CxiFt"
46,19/07/2021 07:34,Akwa Akpa - Ibom Republic,Why is it that whenever you mention “Self-Determination” or “Referendum” some people interpret it as “a declaration… https://t.co/vhE1xoyTtf
47,19/07/2021 07:34,"Lagos, Nigeria","""#FG denies asking #ObiCubana to loan #Nigeria money

https://t.co/ZjnZ5OmBii

#obaanambra #cubanachiefpriest… https://t.co/Lr5Wrn3MEd"
48,19/07/2021 07:34,,"@oba_jero I cursed myself for any day I extend any such assistance to anyone on Nigeria Army uniform. Since then, i… https://t.co/N1DJUDppa7"
49,19/07/2021 07:34,"Lagos, Nigeria","Please do Marina or Lekki, Nigeria https://t.co/xlKfbz24qd"
50,19/07/2021 07:34,,"🚀ELONPEG🚀

🚀Complete:
🚀Audits
🚀Liquidity Locked
🚀BurnUponTweet (44% Supply Burned)
🚀Auto Burn Reports
🚀Patent Pendi… https://t.co/finHLZHloM"
51,19/07/2021 07:34,Proudly Nigeria ⚓,God bless each and every one of them. God bless Nigeria!!! https://t.co/zK6LgHdohq https://t.co/Ux8Mksr0nV
52,19/07/2021 07:34,,"Police foil bandits attack, rescue victim, 36 cows in Katsina https://t.co/vyBEaxRzNl"
53,19/07/2021 07:34,"Victoria Island, Nigeria",@FunmiKolz @JJExclusive1 The problem in Nigeria is it is folo folo dat wee kee some of you
54,19/07/2021 07:34,,"@abati1990 The giant zoo called Nigeria
🤣🤣🤣🤣🤣"
55,19/07/2021 07:33,,"🚀ELONPEG🚀

🚀Complete:
🚀Audits
🚀Liquidity Locked
🚀BurnUponTweet (44% Supply Burned)
🚀Auto Burn Reports
🚀Patent Pendi… https://t.co/PA4GAAte0f"
56,19/07/2021 07:33,,I'm always the first to say Nigeria is wild but America always finds a special way to surprise me https://t.co/NlIj7USDak
57,19/07/2021 07:33,"Abuja, Nigeria",The spiritual controls the physical. We should raise up Buhari every morning for God to judge him as Nigeria’s President.
58,19/07/2021 07:33,Nigeria,Newspaper Headlines: Nigeria’s external reserves drop by $180m in 2 weeks https://t.co/8aaMy1B9Lz via @thecableng
59,19/07/2021 07:33,Nigeria,@bimboemoji Like Nigeria dey call this one
60,19/07/2021 07:33,"Hartlepool, England","@Simon_S70 @DaveWig52 In the USA it’s something like $63 billion. Nigeria, fraud capital of the world. Yet ignored?… https://t.co/OrKSFAKkMZ"
61,19/07/2021 07:33,"Nairobi, Kenya","Lack of testing or we are careful enough? What do you make of it? We asked our panelists in Kenya, Nigeria, and Sou… https://t.co/Gn47U93PCu"
62,19/07/2021 07:33,"Awka, Nigeria","@oba_jero When you come back to Nigeria, inform me so that we will go and tell them thank you."
63,19/07/2021 07:33,"Lagos, Nigeria","🔶NAIJA NEWS HEADLINES🔶
🌿Mon July 19, 2021

*Buhari: PIB Will Take Care Of Host Oil Communities, Secure Environment… https://t.co/U3JjBGfh10"
64,19/07/2021 07:33,United States,"@StarGirlDaily Richmond Estate
Lekki lagos Nigeria
🥰🥰🥰
Happy anniversary Elites 🥂

#1YearWithErica
#BeingAnElite… https://t.co/XkYnF54jEc"
65,19/07/2021 07:33,"Ibadan, Nigeria","Korea/Japan.
Batistuta header.
I cried. Last time I cried for Nigeria.
I entered rain to watch this defeat.
It was… https://t.co/nrBSPrHlmk"
66,19/07/2021 07:33,Nigeria,@BeverlyNaya You cannot run away from what you are passionate about. Your holiday actually should have been in a lovely place in Nigeria.
67,19/07/2021 07:33,"Houston, TX",@Gistloversblog1 When few people spend big and suddenly everyone claim there’s money in nigeria I 😂 then you see vi… https://t.co/yDHswmKuGY
68,19/07/2021 07:33,"Lagos, Nigeria","#COVID19: Why we’re yet to approve herbal medicine – #NAFDAC

https://t.co/8hyX66ecyr

#Covid19UK #covidnsw… https://t.co/AZ1xobWckp"
69,19/07/2021 07:32,"Abuja, Nigeria",NIGERIA: EEDC Takes Sensitization Campaign to Schools - https://t.co/jOzRaBRXD4 https://t.co/v0TmCImjmb
70,19/07/2021 07:32,"Lagos, Nigeria","Lord let only Your will be established in our Nation Nigeria in Jesus name, Amen 🙏🙇‍♀️🙇‍♀️🗣🗣"
71,19/07/2021 07:32,Nigeria,Newspaper Headlines: Nigeria’s external reserves drop by $180m in 2 weeks | TheCable https://t.co/8aaMy1B9Lz https://t.co/Ql75mcEJ6F
72,19/07/2021 07:32,Nigeria,INEC’s Position On Electronic Transmission Of Election Results In Nigeria https://t.co/wTuVkDtp24
73,19/07/2021 07:32,"Tulsa, OK","YeleSowore: Lives of 13 police officers wasted again in Zamfara, Nigeria is being governed by an incompetent tired… https://t.co/gMc95YoK12"
74,19/07/2021 07:32,"Rivers, Nigeria","I make good quality customised shirts and shorts for just N8000 a pair 

Order two pairs and get a free delivery wi… https://t.co/p0QZmqceqZ"
75,19/07/2021 07:32,"Uyo Province, Biafra. ",@AfricaNational1 @MobilePunch And you saying we should remain in one big umbrella like Nigeria means that you have… https://t.co/21spvl8X8x
76,19/07/2021 07:32,,@Q_DOTING @bukollarh @Harvey_Flitch @ZealManuel @jacuzblaq @thatBusolagirl @CaptKay_ man this ideal y'all purchase… https://t.co/NtZr5Nfc07
77,19/07/2021 07:32,,"Makoko in Lagos State, Nigeria by Egun immigrants from Benin Republic in the 19th century.

Egun is a subgroup of Y… https://t.co/wh6FoPUTpv"
78,19/07/2021 07:32,"Lagos,NIGERIA","US Women Basketball Team Defeat Nigeria’s D’Tigress
https://t.co/SMGqLH00oJ https://t.co/upycutIQEv"
79,19/07/2021 07:32,,"@OyemomiDamilare I have to look clearly, this is not Nigeria, wow, May God be with you wherever you are sir"
80,19/07/2021 07:32,La Ciudad De Las Gidi,@orebobo @SoniaMaduabuchi @the_davidatta @Chxta This is the same way people thought their exposure to working socie… https://t.co/qW9LnmmMe8
81,19/07/2021 07:32,Nigeria,Auditions held for Basketmouth comedy https://t.co/WyU283MMb6
82,19/07/2021 07:32,Federal Capital Territory,Woke up in Nigeria again💔
83,19/07/2021 07:31,Nigeria,Families of Israeli filmmakers arrested in Nigeria open up https://t.co/okN7vRg5Ad
84,19/07/2021 07:31,Nigeria,@asemota There should be 109+ ranches in Nigeria
85,19/07/2021 07:31,Romania,"@AbiolaObayomi I total understand, but is that not based on the financial status and generosity of his members?? Wh… https://t.co/u7EKcF7FU4"
86,19/07/2021 07:31,Nigeria,@OmoIyaLati001 @Oga_Boni @ovie_nurudeen @UthmanTochukwu Is it okay for the rest of the Muslims not only in the nort… https://t.co/3EOTlOivyX
87,19/07/2021 07:31,Lagos ,"@itz_dayum Red door, and back in 1996, bet on Nigeria to win the Olympics, France to win 98 World Cup... Etc"
88,19/07/2021 07:31,,The sooner we young people accept the fact that Nigeria operates an upside down pyramid the better for us... https://t.co/zTjkbMkhGM
89,19/07/2021 07:31,"Nairobi, Enugu; Kampala; Juba",@ScarTissue101 @SoniaMaduabuchi @the_davidatta @Chxta If you understand the importance of having a transit point in… https://t.co/A64BiI8NwK
90,19/07/2021 07:31,,#ESN is hunting the killer Terrorist Herdsmen to save the lives of innocent citizens and Nigeria government is chas… https://t.co/Q4Mqb4yFxB
91,19/07/2021 07:30,view our whatsapp status  👇👇,"NIGERIA NEWS PAPERS FRONT PAGE TODAY
19th JULY 2021

@Gidi_Traffic https://t.co/yuukzjHfcs"
92,19/07/2021 07:30,"Mzatsi, South Africa",#FreePresidentZuma South Africa is slowly moving to becoming like Nigeria and Uganda when it comes to freedom of sp… https://t.co/dGZw4f7En4
93,19/07/2021 07:30,need a world class website? 👉,"@edenpison @dezzzzmond @ENIBOY You can't dirty your way to $16bn net worth in Nigeria

Politics or drug money or em… https://t.co/ghUx27VeI6"
94,19/07/2021 07:30,"Lagos, Nigeria",Airtel Nigeria says CEO was misquoted on operating licence renewal https://t.co/I2biIHGPlS
95,19/07/2021 07:30,,@WhatTheFFacts Add half of Nigeria.
96,19/07/2021 07:30,v616 Monocerotis ,Buharinomics should be studied in schools. A foolproof plan to drag a country's economy into recession thrice. Don'… https://t.co/eIlWPkGVSr
97,19/07/2021 07:30,,@FreddyFons @krizsammet081 @M_Leni08 @DFB_Junioren why are you talking about nigeria? the game was between germany and honduras
98,19/07/2021 07:30,Africa,"Over 800 Roads, Bridges Projects Ongoing Nationwide, Says Nigerian Govt @vanguardngrnews: https://t.co/ElVobiAI9K… https://t.co/BOeDFR9FZw"
99,19/07/2021 07:30,Nigeria,"Quoting Self - 23

19th July, 2021

#QuotingSelf #YouSefThinkAm @ Kano, Nigeria https://t.co/hQBfvvDPvH"
100,19/07/2021 07:30,,Nigeria's security crises - five different threats. Nigeria sounds like a perfect holiday destination. https://t.co/YSEhgr782u
101,19/07/2021 07:30,Nigeria,Public Affairs Analyst Wants Government To Make Satellite Effective In Nigeria https://t.co/QG01FFx7m0
102,19/07/2021 07:30,Online | Nigeria 🇳🇬,"Deloitte Graduate Academy Programme 2021

Qualification: BA/BSC/HND

Location: Lagos | Nigeria

Deadline: July 22,… https://t.co/3dOLsE4nOz"
103,19/07/2021 07:29,"Lagos, Nigeria",Federal Govt of Nigeria denies asking Obi Cubana for loan https://t.co/xUR1BT4pNh
104,19/07/2021 07:29,Thailand ,@DailyPostNGR @JamesNkemdirim Useless​ country​ i hate nigeria​ with​ passion... Why holding​ @MaziNnamdiKanu he ha… https://t.co/OSaOe8usPL
105,19/07/2021 07:29,,"It is just an audio killings. Bandits don't kill they are just doing their normal businesses. Ipob is responsible,… https://t.co/xJJgmSdMtv"
106,19/07/2021 07:29,"ABUJA, NIGERIA ","""Failure cannot cope with persistence.""

Good morning and happy new week to everyone 🤗.

#CLSIL #mondaymood… https://t.co/HdTdR3q6G5"
107,19/07/2021 07:29,,@obaofcanada @StillIRiseOrg Are you in Nigeria Sir ?
108,19/07/2021 07:29,,The largest man-made structure in history was the walls of Benin in present-day Nigeria. They were four times longe… https://t.co/eyTaPn2FSH
109,19/07/2021 07:29,,"All is set for the Nigeria Union of Journalists (NUJ), Oyo State Council to launch its novel Journalists Estate loc… https://t.co/s66wjZhmv7"
110,19/07/2021 07:29,Home,"@instablog9ja Most Nigeria Feminists are jst heartbroken or lonely women, once they get d rite d**k they make a U-turn"
111,19/07/2021 07:29,"Federal Capital Territory, Nig",@SaharaReporters The party Dinner a night before the voting was enough evidence of official corruption only allowed… https://t.co/jBwwfe7Pno
112,19/07/2021 07:29,"Lagos, Nigeria",Gov. Masari Blasts Politicians Calling On Foreign Powers To Interfere In Nigeria’s Affairs https://t.co/pqjUlMHOgk
113,19/07/2021 07:29,Definitely on Earth. ,"Just posted a photo @ Lagos, Nigeria https://t.co/ZYoZbWJJBw"
114,19/07/2021 07:29,somewhere in Antarctica,@Oga_Boni @ovie_nurudeen @UthmanTochukwu It's ok to judge all Muslims on the actions of some hairbrained illetrates… https://t.co/UjkP4I1kmV
115,19/07/2021 07:29,Nigeria,Behavioral Insights Coordinator at The International Rescue Committee (IRC) - Jobs Today https://t.co/QyJCAhafSR
116,19/07/2021 07:29,Nigeria,"‘Nnamdi Kanu didn’t jump bail, will prove how FG made him flee Nigeria’ – Lawyer, Ejimakor https://t.co/qxEoGMC8LZ"
117,19/07/2021 07:28,"Victoria Island, Nigeria","The Minister of Information and Culture, Lai Mohammed, has denied asking Cubana Group Chairman, Obi Iyiegbu aka Obi… https://t.co/llaVrQzLk1"
118,19/07/2021 07:28,,"Nigerians must not only scream and burn tyres, whenever there is an extra-judicial killing by the Nigeria police fo… https://t.co/uEYDPwdy9l"
119,19/07/2021 07:28,"Lagos, Nigeria","When Buhari leaves office, Nigeria will be more peaceful: Ibrahim Gambari https://t.co/enOZsCWn5C"
120,19/07/2021 07:28,,"Nigeria is at war presently following the atrocities in Nigeria killing, rape, kidnapping included many summary exe… https://t.co/k6gjkKjMzR"
121,19/07/2021 07:28,"Reno, NV",'It feels good': U.S. women get 1st exhibition win https://t.co/zB0E6ecYJz
122,19/07/2021 07:28,"Port Harcourt, Nigeria","That's the practical way of measuring a prosperous society. In the 80s,we were told how Nigeria was under banked wh… https://t.co/yihWtREnWM"
123,19/07/2021 07:28,"Warri, Nigeria","Tshirts are usually the most Casual but classic clothes to put on ! 
 Our Tshirt quality Runs at best ! 
  Sizes: M… https://t.co/0gJmfzZxpl"
124,19/07/2021 07:28,No Man Land,@avy_black @MrsZanga Church in Nigeria is a lucrative business
125,19/07/2021 07:28,"Lagos, Nigeria",@oluobededom @justcallmeEru @Akumneri Probably you should tell me what I don't know because Dangote is not the only… https://t.co/8UPCDYivNF
126,19/07/2021 07:27,,"Ayra Starr - Away
https://t.co/ZuUQvwEVYN
 #2021 #Nigéria #Musique #RB #Vidéo #afro #africa #afrique #video #clip… https://t.co/3P37f4t0yV"
127,19/07/2021 07:27,,"Greetings Guy's.

Anyone seeing these tweet Comment down blow Or DM.
Let me invite you to Pi network. It's a digita… https://t.co/ejYRGT8rOg"
128,19/07/2021 07:27,"Magboro, Ogun, Nigeria","Just posted a photo @ Magboro, Ogun, Nigeria https://t.co/waKpS5C8zn"
129,19/07/2021 07:27,"Ibadan, Nigeria",Niggas think I’m out in America wait till I go to Nigeria 😭😭😭😭
130,19/07/2021 07:27,Home,"I hear Facebook's jingle against fake news across radio stations in Nigeria.

But what does the govt do to fight fa… https://t.co/jYlrIFbVZp"
131,19/07/2021 07:27,London - UK,NSCDC to train journalists in Ondo on security consciousness https://t.co/8I3VhrFy9c  #Nigeria #NigeriaNews https://t.co/7Vf6OEuKFT
132,19/07/2021 07:27,South Africa,@AfricaFactsZone @trixasis2 Its Nigeria 🙉🙊🙈
133,19/07/2021 07:27,,"Nigeria puts six states on COVID-19 red alert, curbs gatherings https://t.co/rVPPvnsEcx"
134,19/07/2021 07:27,,NIGERIA GOVERNMENT IS USING FULANI HERDSMEN AND MIYETTI ALLAH TERRORISM KILL INNOCENT CHRISTIAN PEOPLE END NIGERIA… https://t.co/094M0XnzIs
135,19/07/2021 07:27,On my way to Japa,"@Kolokodess I think, house should start charging Monthly here in Nigeria 12m wtf!"
136,19/07/2021 07:27,,Ranching: Benue governor right to demand N100 billion from federal government – aide https://t.co/7tyUp2pzLa via @todayng
137,19/07/2021 07:26,,@SaharaReporters fake news this is not the unity of Nigeria if u dont is the unity of ipob cos some people want to… https://t.co/i8UxWcQtxP
138,19/07/2021 07:26,"Southampton, England","Wait, the ENGLISHIANS are back to normal, only just NOW?!

😂😂😂😂😂😂😂😂😂😂

Nigeria wey do formality and small lockdown… https://t.co/Dh9sysqjv5"
139,19/07/2021 07:26,Idumuje-Ugboko,@MubarakBelerebe @UthmanTochukwu @Frank1Elder @Kornerstone4 Omo wake up Nigeria is a time bomb when it's going to e… https://t.co/2sCD6XH68x
140,19/07/2021 07:26,"DC, Maryland and Virginia","“USA Women’s Basketball vs. Nigeria, USA Men’s Basketball vs. Spain Game Threads... https://t.co/3qB7ls3gbz #dmv #dmvnetwork #dmvnews"
141,19/07/2021 07:26,"Orlu, Nigeria","@IDF when you’re ready to light Nigeria ablaze please remember it is the North of Nigeria, from Abuja all the way n… https://t.co/S0KKEPEFDb"
142,19/07/2021 07:26,"Paris, France",@GazetteNGR This is the man who told the whole world that Miyetti Allah is a Stake Holder in this APC Government. T… https://t.co/gdGrxiIZxE
143,19/07/2021 07:26,,"Nigeria Is One of the most blessed country in africa.once giante of Africa,Hope it Will continue to be the giante of Africa."
144,19/07/2021 07:26,"Lagos, Nigeria","With 2 attempts at food blockade within a 6 month frame, large scale farming and ranches should be prioritized in S… https://t.co/23fgU3WpYe"
145,19/07/2021 07:26,Somewhere on Earth,I wake up in the middle of the night and my thoughts are swarmed with Nigeria and her accursed leaders. Why why why? https://t.co/rzHgKQkH7I
146,19/07/2021 07:26,"Victoria, Australia",@Richie_whatever @constantscln @JoshEberley @McCadeP8 Your refusal to admit the rest of the world has caught up is… https://t.co/qXXYx0HGPH
147,19/07/2021 07:26,"Lagos, Nigeria","‘Nnamdi Kanu didn’t jump bail, will prove how FG made him flee Nigeria’ – Lawyer Ejimakor https://t.co/eti5vsqj7H"
148,19/07/2021 07:26,,"Ease the affairs of our brothers and sisters in Yemen, Syria, Palestine, Uighur, Northern Nigeria, Kashmir and all over the world 🤲🏾♥️"
149,19/07/2021 07:26,Kigali-Rwanda,Gunmen have abducted at least 60 people in north-western #Nigeria after raiding five villages. https://t.co/6no1oK0OFa
150,19/07/2021 07:26,,You're a village boy and deserve to relocate there. Small time now you will say Senators of Nigeria don't know what… https://t.co/9uAgfr6Dtr
151,19/07/2021 07:25,Earth,The god Hundeyin. Nigeria's very own George Orwell 🤭 https://t.co/nRiBzs0jD7
152,19/07/2021 07:25,,Doing everything humanely possible to not be like Nigeria. https://t.co/qr4qdukpDF
153,19/07/2021 07:25,Al Hilal - C Ring Road,"Thirteen policemen were killed in an ambush by cattle thieves in northwest #Nigeria's #Zamfara state, in the latest… https://t.co/HfByBC7AdE"
154,19/07/2021 07:25,,"APC and PDP have nothing good to offer nigeria, the earlier we know this and stand against their lawlessness and co… https://t.co/zVFckOLW3g"
155,19/07/2021 07:25,London - UK,Security: NSCDC to train journalists in Ondo https://t.co/Olecm410FE  #Nigeria #NigeriaNews https://t.co/TpaqrjACCC
156,19/07/2021 07:25,"Arhus, Denmark 🇩🇰","@HumAngle_ If it’s Esn,the whole of Nigeria police would already be at south east by now 😬😬😬.... Crasiii blind government"
157,19/07/2021 07:25,,"Call me petty but I'm curious to see what Nigeria trend table will look like today,seems every league is celebratin… https://t.co/JgYNhZVGOD"
158,19/07/2021 07:25,,Nigeria's security crises - five different threats by Cristobal Joaquin Leal Jimenez https://t.co/Jb7JfUjnkC elemen… https://t.co/0UPiQiV2cO
159,19/07/2021 07:25,Namibia,Nigeria's Jesus industry https://t.co/46oeXGCvwL
160,19/07/2021 07:25,Hell....literally ,@AsaduChinaza I was reading for Nigeria people’s and culture
161,19/07/2021 07:25,,"@thecableng America knows better.
@mikepompeo said it openly before Rev @kukuh
Jihadists are waging war against Chr… https://t.co/TDL7NT1LrM"
162,19/07/2021 07:25,Wesside,Nigeria has just ruined my twitter life
163,19/07/2021 07:25,"Abuja, Nigeria",“I don’t think the government of the day in all honesty can say that there is any part of Nigeria today where you d… https://t.co/SGSnC7nEny
164,19/07/2021 07:24,MacCarthy,"@ksheldongh When our neighbour Nigeria, is pushing all their stars up, we continue to pull our own down, let's supp… https://t.co/K4Jp1uJNaa"
165,19/07/2021 07:24,Nigeria,@olywal So people still watch what u call Nigeria league... Make una no go sleep...
166,19/07/2021 07:24,UK,Nigeria: Airtel Yet to Renew Licence - NCC - Extensia-ltd https://t.co/WGZPCpvtsE via @getsocial_io
167,19/07/2021 07:24,biafra,@banaclavahigh @Ori_Debig_Beats @AfricaFactsZone Google can't not change the fact that HIV literally floats in sout… https://t.co/G4PfEFXEY1
168,19/07/2021 07:24,Inú Igbó Irúnmọlẹ̀,"In this episode of Entrepreneurs in Nigeria, @SeniormanOA had three young and vibrant entrepreneurs (Two females &amp;… https://t.co/OsvGzo0W9v"
169,19/07/2021 07:24,wild wild west ,@thecableng @MBuhari @AsiwajuTinubu Agreement between who and who🙄🙄🙄 this werey people really thinks just they and… https://t.co/HlUUCrdXzs
170,19/07/2021 07:24,"Orlu, Nigeria","This is Nigeria, we are all scrambling for meat. Fulgeria UAR https://t.co/OqisL7b7bA"
171,19/07/2021 07:24,,@HananyaNaftali @HananyaNaftali that's to show you the level of wickedness that's been targeted at Igbo Biafrans by… https://t.co/D267jMXhSw
172,19/07/2021 07:24,lasgidi ,"Job hunting in Nigeria is Mission impossible,you know the money use in Printing C.V self has surpassed Salary. To… https://t.co/GfxrznxYmI"
173,19/07/2021 07:24,"Lagos, Nigeria","""Nigeria is on the verge of catching fire; do not add fuel to it"" - Northern pastors warn clerics… https://t.co/Y8qPnKEZa3"
174,19/07/2021 07:24,Kanpur,"@ashok_cmo Dear Sir, Four of my family members are stuck in kanpur due to lockdown and they want to return home (Ni… https://t.co/Pq4B432utN"
175,19/07/2021 07:24,,Traditional council urges Oyo governor to adopt multi-dimensional approach to tackle insecurity https://t.co/VPrVF1rYol
176,19/07/2021 07:23,info@benayaltd.com,"How can I wake up thinking about Nigeria? Please, let me focus on my holiday.

What kind of jazz was that? Lol"
177,19/07/2021 07:23,New Zealand ,"Buhari kidnapped Nnamdi KANU, attacked Sunday Igboho. One week after, he released 1,009 Boko Haram TERRORISTS from… https://t.co/cTmp90gL9L"
178,19/07/2021 07:23,,"@Muhamma46138136 @DeepBlueCrypto @DocumentingBTC Nigeria is not poor, she's Africa giant"
